set,method,accuracy,macro_f1,f1_positive,f1_negative,f1_neutral,macro_f1_ci_low,macro_f1_ci_high
test,baseline,0.642,0.26065773447015833,0.0,0.0,0.781973203410475,0.25,0.2707955882781117
test,tfidf_logreg,0.66,0.5605305066477808,0.5714285714285714,0.358974358974359,0.751188589540412,0.5131118091978089,0.6079971881699436
test,zero_shot,0.646,0.6389074040015168,0.6404833836858006,0.6162790697674418,0.6599597585513078,0.5907501928063775,0.6805105277296972
test,few_shot,0.662,0.6486910866445359,0.6753246753246753,0.5894736842105263,0.6812749003984063,0.5995870214571839,0.6876897027650246
stress,baseline,0.34,0.1691542288557214,0.0,0.0,0.5074626865671642,0.12903225806451613,0.20370370370370372
stress,tfidf_logreg,0.4,0.3622895622895623,0.2909090909090909,0.21818181818181817,0.5777777777777777,0.2674193221132088,0.45648959794296395
stress,zero_shot,0.88,0.87985347985348,0.8307692307692308,0.8857142857142857,0.9230769230769231,0.8177313710027592,0.9394257464094842
stress,few_shot,0.87,0.8703672229964763,0.8387096774193549,0.8493150684931506,0.9230769230769231,0.8024515603222725,0.9308823548905168
