method,test_accuracy,test_macro_f1,test_macro_f1_ci,stress_accuracy,stress_macro_f1,f1_drop,ms_per_text_batch,ms_per_text_single,tokens_in_mean,tokens_out_mean,ollama_in_mean,ollama_out_mean,invalid_json,tokens_in_per_1000,tokens_out_per_1000,minutes_per_1000,cost_per_1000_rub,ms_model_compute,max_queue_wait_ms
baseline,0.642,0.26065773447015833,0.250-0.271,0.34,0.1691542288557214,0.09150350561443693,4.316598642617464e-05,0.016371750039979815,,,,,,,,0.00027286250066633024,0.0,,
tfidf_logreg,0.66,0.5605305066477808,0.513-0.608,0.4,0.3622895622895623,0.19824094435821854,0.008171083987690508,0.267666665953584,,,,,,,,0.0044611110992264,0.0,,
zero_shot,0.646,0.6389074040015168,0.591-0.681,0.88,0.87985347985348,-0.24094607585196315,,446.80254680151126,338.174,7.0,338.174,7.0,0.0,338174.0,7000.0,7.446709113358521,0.0,441.54140999000003,16.633708000000023
few_shot,0.662,0.6486910866445359,0.600-0.688,0.87,0.8703672229964763,-0.2216761363519404,,451.7126463316306,564.174,7.0,564.174,7.0,0.0,564174.0,7000.0,7.5285441055271765,0.0,445.557919984,22.77108299999997
